game_name,review_period,sentiment,word,importance_score
Assassin’s Creed Shadows,2025-09,NEGATIVE,ubisoft,0.0658102392426016
Assassin’s Creed Shadows,2025-09,NEGATIVE,play,0.05879911866761166
Assassin’s Creed Shadows,2025-09,NEGATIVE,like,0.05760347671141565
Assassin’s Creed Shadows,2025-09,NEGATIVE,boring,0.04064515847099575
Assassin’s Creed Shadows,2025-09,NEGATIVE,story,0.04036615718728416
Assassin’s Creed Shadows,2025-09,NEGATIVE,run,0.037018426940195304
Assassin’s Creed Shadows,2025-09,NEGATIVE,hours,0.03516214076933284
Assassin’s Creed Shadows,2025-09,NEGATIVE,good,0.032198442823460884
Assassin’s Creed Shadows,2025-10,POSITIVE,game,0.12050741246099365
Assassin’s Creed Shadows,2025-10,POSITIVE,great,0.0724780183689628
Assassin’s Creed Shadows,2025-10,POSITIVE,good,0.06927112537796135
Assassin’s Creed Shadows,2025-10,POSITIVE,fun,0.05156647360709935
Assassin’s Creed Shadows,2025-10,POSITIVE,great game,0.045694251897563085
Assassin’s Creed Shadows,2025-10,POSITIVE,story,0.04354139417163156
Assassin’s Creed Shadows,2025-10,POSITIVE,creed,0.03852439212005321
Assassin’s Creed Shadows,2025-10,POSITIVE,best,0.03731033890441324
Assassin’s Creed Shadows,2025-10,POSITIVE,better,0.037076166330324865
Assassin’s Creed Shadows,2025-10,POSITIVE,ac,0.03500907054884135
Assassin’s Creed Shadows,2025-10,NEGATIVE,game,0.12009241007581738
Assassin’s Creed Shadows,2025-10,NEGATIVE,boring,0.07019963424833735
Assassin’s Creed Shadows,2025-10,NEGATIVE,ubisoft,0.06380672012792651
Assassin’s Creed Shadows,2025-10,NEGATIVE,like,0.05611996160387675
Assassin’s Creed Shadows,2025-10,NEGATIVE,play,0.05402849021950812
Assassin’s Creed Shadows,2025-10,NEGATIVE,bad,0.0529261825617173
Assassin’s Creed Shadows,2025-10,NEGATIVE,combat,0.04540969791475051
Assassin’s Creed Shadows,2025-10,NEGATIVE,just,0.03651721767138112
Assassin’s Creed Shadows,2025-10,NEGATIVE,story,0.034707599042232015
Assassin’s Creed Shadows,2025-10,NEGATIVE,character,0.03081037976238267
Assassin’s Creed Shadows,2025-11,POSITIVE,game,0.0931171105078102
Assassin’s Creed Shadows,2025-11,POSITIVE,good,0.054165107295771855
Assassin’s Creed Shadows,2025-11,POSITIVE,great,0.053715828810023854
Assassin’s Creed Shadows,2025-11,POSITIVE,love,0.046162516718289984
Assassin’s Creed Shadows,2025-11,POSITIVE,creed,0.0432275831319616
Assassin’s Creed Shadows,2025-11,POSITIVE,story,0.04073759048998142
Assassin’s Creed Shadows,2025-11,POSITIVE,fun,0.03633307323402361
Assassin’s Creed Shadows,2025-11,POSITIVE,ac,0.034955645913831046
Assassin’s Creed Shadows,2025-11,POSITIVE,great game,0.034408702526088575
Assassin’s Creed Shadows,2025-11,POSITIVE,like,0.033762465367931614
Assassin’s Creed Shadows,2025-11,NEGATIVE,game,0.20522353753141845
Assassin’s Creed Shadows,2025-11,NEGATIVE,just,0.05832110890793605
Assassin’s Creed Shadows,2025-11,NEGATIVE,boring,0.056991971617563746
